face_shape,min_age,max_age,gender,frame_image
Diamond,18,25,Male,frame1.png
Diamond,18,25,Male,frame2.png
Diamond,18,25,Female,frame3.png
Diamond,18,25,Female,frame4.png
Diamond,26,55,Male,frame5.png
Diamond,26,55,Male,frame6.png
Diamond,26,55,Female,frame7.png
Diamond,26,55,Female,frame8.png
Heart,18,25,Male,frame9.png
Heart,18,25,Male,frame10.png
Heart,18,25,Female,frame11.png
Heart,18,25,Female,frame12.png
Heart,26,55,Male,frame13.png
Heart,26,55,Male,frame14.png
Heart,26,55,Female,frame15.png
Heart,26,55,Female,frame16.png
Oval,18,25,Male,frame17.png
Oval,18,25,Male,frame18.png
Oval,18,25,Female,frame19.png
Oval,18,25,Female,frame20.png
Oval,26,55,Male,frame21.png
Oval,26,55,Male,frame22.png
Oval,26,55,Female,frame23.png
Oval,26,55,Female,frame24.png
Rectangle,18,25,Male,frame25.png
Rectangle,18,25,Male,frame26.png
Rectangle,18,25,Female,frame27.png
Rectangle,18,25,Female,frame28.png
Rectangle,26,55,Male,frame29.png
Rectangle,26,55,Male,frame30.png
Rectangle,26,55,Female,frame31.png
Rectangle,26,55,Female,frame32.png
Round,18,25,Male,frame33.png
Round,18,25,Male,frame34.png
Round,18,25,Female,frame35.png
Round,18,25,Female,frame36.png
Round,26,55,Male,frame37.png
Round,26,55,Male,frame38.png
Round,26,55,Female,frame39.png
Round,26,55,Female,frame40.png
